r rdf
1.450312500000000115e+00 0.000000000000000000e+00
1.474687500000000151e+00 0.000000000000000000e+00
1.499062499999999964e+00 0.000000000000000000e+00
1.523437500000000000e+00 1.783969681221561979e-02
1.547812500000000036e+00 0.000000000000000000e+00
1.572187500000000071e+00 0.000000000000000000e+00
1.596562500000000107e+00 1.702261146203780037e-02
1.620937500000000142e+00 5.029989702692372333e-02
1.645312499999999956e+00 3.303647557817707830e-02
1.669687499999999991e+00 1.627709563158358935e-02
1.694062500000000027e+00 3.048149635180725237e-01
1.718437500000000062e+00 1.186150054003697774e+00
1.742812500000000098e+00 1.403472651310669006e+00
1.767187500000000133e+00 1.107291526275451909e+00
1.791562500000000169e+00 8.495093720102672163e-01
1.815937499999999982e+00 6.585122984374891519e-01
1.840312500000000018e+00 6.497902812396416650e-01
1.864687500000000053e+00 3.206481453176009411e-01
1.889062500000000089e+00 4.459924203053903802e-01
1.913437500000000124e+00 2.130537039675431399e-01
1.937812500000000160e+00 1.963488642853919997e-01
1.962187499999999973e+00 5.817292438765961915e-01
1.986562500000000009e+00 1.053417679862425294e+00
2.010937500000000266e+00 1.094708668022321918e+00
2.035312499999999858e+00 9.881269192394876999e-01
2.059687499999999893e+00 8.312876473147809975e-01
2.084062499999999929e+00 7.563614145530013211e-01
2.108437499999999964e+00 5.413780824516299939e-01
2.132812500000000000e+00 4.459924203053904357e-01
2.157187500000000036e+00 2.645717747574349854e-01
2.181562500000000071e+00 3.861945538957290980e-01
2.205937500000000107e+00 2.340844194973043246e-01
2.230312500000000142e+00 2.193405345764214975e-01
2.254687500000000178e+00 1.205384919744298261e-01
2.279062500000000213e+00 3.577479307262489833e-02
2.303437500000000249e+00 1.297861540571241534e-01
2.327812500000000284e+00 7.005116549299325590e-02
2.352187499999999876e+00 4.621683111972957336e-02
2.376562499999999911e+00 3.430710925426080221e-02
2.400937499999999947e+00 5.659802288139472587e-02
2.425312499999999982e+00 1.120583970616558997e-02
2.449687500000000018e+00 1.109433881356692263e-02
2.474062500000000053e+00 2.197006996578278193e-02
2.498437500000000089e+00 5.438931954943785479e-02
2.522812500000000124e+00 1.077276377549252206e-02
2.547187500000000160e+00 1.066967512692321499e-02
2.571562500000000195e+00 2.113708153106115886e-02
2.595937500000000231e+00 4.292415312798357196e-01
2.620312500000000266e+00 8.712410071082044016e-01
2.644687500000000302e+00 1.079013920093686352e+00
2.669062499999999893e+00 1.181167140534824078e+00
2.693437499999999929e+00 1.029213277627824219e+00
2.717812499999999964e+00 8.999847046521329830e-01
2.742187500000000000e+00 7.730535285293432812e-01
2.766562500000000036e+00 5.795936739651550429e-01
2.790937500000000071e+00 4.674156370012824691e-01
2.815312500000000107e+00 5.019828107333398348e-01
2.839687500000000142e+00 3.828261118501204985e-01
2.864062500000000178e+00 3.131436142569762326e-01
2.888437500000000213e+00 2.258189469900710733e-01
2.912812500000000249e+00 1.959380926027865510e-01
2.937187500000000284e+00 3.423593267904448956e-01
2.961562500000000320e+00 5.230775299878035467e-01
2.985937499999999911e+00 4.459924203053903802e-01
3.010312499999999947e+00 5.507193853973444408e-01
3.034687499999999982e+00 5.104732521567720838e-01
3.059062500000000018e+00 4.619841803960219040e-01
3.083437500000000053e+00 4.142617342757578536e-01
3.107812500000000089e+00 3.235631284568518673e-01
3.132187500000000124e+00 2.950144414471454479e-01
3.156562500000000160e+00 2.927363376521867622e-01
3.180937500000000195e+00 1.452465736626750159e-01
3.205312500000000231e+00 1.780578103880836316e-01
3.229687500000000266e+00 1.935438805098863846e-01
3.254062500000000302e+00 1.503345236984461875e-01
3.278437499999999893e+00 9.118804132638093363e-02
3.302812499999999929e+00 9.051506685164747990e-02
3.327187499999999964e+00 6.534687477002056044e-02
3.351562500000000000e+00 8.108953096461643528e-02
3.375937500000000036e+00 3.220161879461302251e-02
3.400312500000000071e+00 1.678466097923512479e-01
3.424687500000000107e+00 2.460100539051085500e-01
3.449062500000000142e+00 3.073092648747389743e-01
3.473437500000000178e+00 3.912214213205179036e-01
3.497812500000000213e+00 3.263359172966270871e-01
3.522187500000000249e+00 3.858065919596803117e-01
3.546562500000000284e+00 4.444598003043409018e-01
3.570937500000000320e+00 7.001928782951520880e-01
3.595312499999999911e+00 8.163929049657993042e-01
3.619687499999999947e+00 8.033870197420331927e-01
3.644062499999999982e+00 6.563099161684674554e-01
3.668437500000000018e+00 6.593575649033178721e-01
3.692812500000000053e+00 6.402861479631841712e-01
3.717187500000000089e+00 6.214648479665276781e-01
3.741562500000000124e+00 4.358232120248114461e-01
3.765937500000000160e+00 3.103183506979253492e-01
3.790312500000000195e+00 3.871959919050013688e-01
3.814687500000000231e+00 3.562239778797047229e-01
3.839062500000000266e+00 3.327245040373547069e-01
3.863437500000000302e+00 2.532449074289282454e-01
3.887812500000000338e+00 2.236952578334246433e-01
3.912187499999999929e+00 2.084076730399020694e-01
3.936562499999999964e+00 2.347328527923107366e-01
3.960937500000000000e+00 2.881797177357907636e-01
3.985312500000000036e+00 3.205144304946995204e-01
4.009687500000000071e+00 2.643420120351098190e-01
4.034062500000000107e+00 3.570634180692702775e-01
4.058437500000000142e+00 2.142906523989863699e-01
